id,original_text,status,reason,confidence,data_source
3001,"Frequent power cuts in our area are affecting daily activities. Businesses are suffering losses, and students are unable to study properly.",accepted,Authentic grievance,0.5884525179862976,Original Fake Data
3002,"The water supply is very irregular in our area. Sometimes, there is no water for hours, causing significant inconvenience to residents.",accepted,Authentic grievance,0.6926497220993042,Original Fake Data
3003,"The main road leading to our colony is filled with potholes. It has become dangerous to drive, especially at night.",accepted,Authentic grievance,0.8243298530578613,Original Fake Data
3004,"Garbage collection in our area has become highly irregular. Waste is piling up, leading to bad odors and an increase in pests.",accepted,Authentic grievance,0.7868185639381409,Original Fake Data
3005,"Public buses are overcrowded during peak hours, making it difficult for people to travel safely. More buses should be added on busy routes.",accepted,Authentic grievance,0.5429972410202026,Original Fake Data
3006,There has been a rise in theft cases in our neighborhood. We request increased police patrols to ensure safety.,accepted,Authentic grievance,0.59672611951828,Original Fake Data
4002,"Sadak ke gaddo me gaadi doob rahi hai, ye sarkar sirf so rahi hai. Kaun sunega?",accepted,Authentic grievance,0.9454908967018127,Original Fake Data
5003,"Itna kachra padha hai, lagta hai yaha pe sab suar reh rahe hain. Koi safai wala nahi dikh raha!",accepted,Authentic grievance,0.9857261180877686,Original Fake Data
6004,"Pani me gandagi hai, nali ka paani lagta hai! Yeh log kya gutter se paani nikal ke de rahe hain?",accepted,Authentic grievance,0.9976567029953003,Original Fake Data
7005,"Har din yaha jam lagta hai, police sirf dekhti rehti hai. Koi system hai bhi ya bas sab moh maya hai?",accepted,Authentic grievance,0.9763115048408508,Original Fake Data
8006,"Itni gandgi aur badbu, lagta hai yeh shahar kisi dustbin se kam nahi! Authorities ko bas paisa chahiye!",accepted,Authentic grievance,0.8241265416145325,Original Fake Data
3001,"Light itni ja rahi hai ki lagta hai sarkaari bijli nahi, kisi ke mood pe chal rahi hai! Generator bhi thak gaya, aur hum bhi! Sarkar ko sirf vote chahiye, kaam toh kabhi kare nahi!",accepted,Authentic grievance,0.946108341217041,Original Fake Data
4002,Sadak ke gaddo mein itne bade hole hain ki lagta hai NASA yaha se chand tak tunnel banwa raha hai! Gaadi chalayen ya horse-riding karein?,accepted,Authentic grievance,0.9750068783760071,Original Fake Data
5003,"Shaher ka naam bada aur dikhawa zyada, par safai dekh ke lagta hai ki bas suar aur kutte rehne layak jagah hai. Babu log bas paisa kha rahe hain!",accepted,Authentic grievance,0.9726800918579102,Original Fake Data
6004,"Paani me itni gandagi hai ki lagta hai ye naal se sidha pipeline me aa raha hai. Pani piyein ya bimari lein? Sarkar sirf naam ki hai, kaam zero!",accepted,Authentic grievance,0.9961313009262085,Original Fake Data
7005,"Yaha traffic dekh ke lagta hai ki log chal nahi rahe, kisi puzzle ka hissa hain. Police sirf photo kheechti hai aur fines lagane ka intezaar karti hai. Yeh kya system hai be?",accepted,Authentic grievance,0.9990046620368958,Original Fake Data
8006,"Yaha ka toilet dekh ke lagta hai, andar gaye toh wapas nahi aayenge. Itni badbu aur gandagi ki log washroom ke bahar hi pakad lete hain. Yeh safai kahan gayi?",accepted,Authentic grievance,0.9989203214645386,Original Fake Data
9007,"Bus service dekh ke lagta hai ki time travel ho raha hai, 1980s wali buses chal rahi hain! Break maarne pe lagta hai, khud pe brake laga lo warna bus nahi rukh rahi!",accepted,Authentic grievance,0.9992056488990784,Original Fake Data
