name,description,timeStamp,departmentOfficers,workers
"Surya Pal Gangwar","District Magistrate of Lucknow","2025-01-15T09:00:00Z","[{""name"": ""Shashank Tripathi"", ""position"": ""Additional DM""}, {""name"": ""Amit Kumar"", ""position"": ""SDM""}]","[{""name"": ""Rajesh Verma"", ""role"": ""Revenue Officer""}, {""name"": ""Priya Singh"", ""role"": ""Administrative Officer""}]"
"Ravindra Kumar","District Magistrate of Varanasi","2025-01-16T10:30:00Z","[{""name"": ""Arun Prakash"", ""position"": ""Additional DM""}, {""name"": ""Sunita Sharma"", ""position"": ""SDM""}]","[{""name"": ""Mohan Das"", ""role"": ""Land Records Officer""}, {""name"": ""Rekha Gupta"", ""role"": ""Revenue Inspector""}]"
"Divya Mittal","District Magistrate of Prayagraj","2025-01-17T11:45:00Z","[{""name"": ""Krishna Kumar"", ""position"": ""Additional DM""}, {""name"": ""Neha Verma"", ""position"": ""SDM""}]","[{""name"": ""Suresh Yadav"", ""role"": ""Development Officer""}, {""name"": ""Anjali Singh"", ""role"": ""Project Officer""}]"
"Neha Jain","District Magistrate of Agra","2025-01-18T12:00:00Z","[{""name"": ""Rakesh Singh"", ""position"": ""Additional DM""}, {""name"": ""Deepak Agarwal"", ""position"": ""SDM""}]","[{""name"": ""Vinod Kumar"", ""role"": ""Planning Officer""}, {""name"": ""Meena Kumari"", ""role"": ""Administrative Assistant""}]"
"Adarsh Singh","District Magistrate of Kanpur","2025-01-19T13:15:00Z","[{""name"": ""Vijay Kumar"", ""position"": ""Additional DM""}, {""name"": ""Ritu Suhas"", ""position"": ""SDM""}]","[{""name"": ""Alok Mishra"", ""role"": ""Finance Officer""}, {""name"": ""Sapna Verma"", ""role"": ""Project Coordinator""}]"
"Manoj Kumar","District Magistrate of Gorakhpur","2025-01-20T09:00:00Z","[{""name"": ""Sanjay Kumar"", ""position"": ""Additional DM""}, {""name"": ""Preeti Singh"", ""position"": ""SDM""}]","[{""name"": ""Rahul Sharma"", ""role"": ""Development Inspector""}, {""name"": ""Kavita Yadav"", ""role"": ""Revenue Officer""}]"
"Chandni Singh","District Magistrate of Meerut","2025-01-21T10:30:00Z","[{""name"": ""Rajesh Kumar"", ""position"": ""Additional DM""}, {""name"": ""Ankit Gupta"", ""position"": ""SDM""}]","[{""name"": ""Deepak Singh"", ""role"": ""Administrative Officer""}, {""name"": ""Pooja Sharma"", ""role"": ""Project Manager""}]"
"Abhishek Prakash","District Magistrate of Aligarh","2025-01-22T11:45:00Z","[{""name"": ""Sunil Kumar"", ""position"": ""Additional DM""}, {""name"": ""Manish Verma"", ""position"": ""SDM""}]","[{""name"": ""Amit Yadav"", ""role"": ""Planning Officer""}, {""name"": ""Ritu Singh"", ""role"": ""Revenue Inspector""}]"
"Shubhra Saxena","District Magistrate of Ghaziabad","2025-01-23T12:00:00Z","[{""name"": ""Praveen Kumar"", ""position"": ""Additional DM""}, {""name"": ""Ankita Sharma"", ""position"": ""SDM""}]","[{""name"": ""Sanjeev Kumar"", ""role"": ""Development Officer""}, {""name"": ""Nisha Verma"", ""role"": ""Administrative Assistant""}]"
"Rakesh Kumar Singh","District Magistrate of Bareilly","2025-01-24T13:15:00Z","[{""name"": ""Alok Kumar"", ""position"": ""Additional DM""}, {""name"": ""Shweta Singh"", ""position"": ""SDM""}]","[{""name"": ""Vivek Srivastava"", ""role"": ""Project Officer""}, {""name"": ""Aarti Sharma"", ""role"": ""Finance Coordinator""}]"
"Nitish Kumar","District Magistrate of Mathura","2025-01-25T14:30:00Z","[{""name"": ""Ramesh Yadav"", ""position"": ""Additional DM""}, {""name"": ""Kavita Gupta"", ""position"": ""SDM""}]","[{""name"": ""Sushil Kumar"", ""role"": ""Revenue Officer""}, {""name"": ""Neha Singh"", ""role"": ""Development Inspector""}]"
"Arvind Kumar Singh","District Magistrate of Jhansi","2025-01-26T15:45:00Z","[{""name"": ""Manoj Singh"", ""position"": ""Additional DM""}, {""name"": ""Priyanka Verma"", ""position"": ""SDM""}]","[{""name"": ""Rajendra Kumar"", ""role"": ""Administrative Officer""}, {""name"": ""Swati Sharma"", ""role"": ""Project Coordinator""}]"
"Sanjay Kumar Singh","District Magistrate of Moradabad","2025-01-27T16:00:00Z","[{""name"": ""Vikram Singh"", ""position"": ""Additional DM""}, {""name"": ""Rashmi Gupta"", ""position"": ""SDM""}]","[{""name"": ""Anand Kumar"", ""role"": ""Planning Officer""}, {""name"": ""Seema Verma"", ""role"": ""Revenue Inspector""}]"
"Anil Kumar Singh","District Magistrate of Saharanpur","2025-01-28T17:15:00Z","[{""name"": ""Dinesh Kumar"", ""position"": ""Additional DM""}, {""name"": ""Shalini Singh"", ""position"": ""SDM""}]","[{""name"": ""Pramod Kumar"", ""role"": ""Development Officer""}, {""name"": ""Reena Sharma"", ""role"": ""Administrative Assistant""}]"
"Yogeshwar Ram Mishra","District Magistrate of Ayodhya","2025-01-29T18:30:00Z","[{""name"": ""Hari Om"", ""position"": ""Additional DM""}, {""name"": ""Archana Singh"", ""position"": ""SDM""}]","[{""name"": ""Ramesh Chandra"", ""role"": ""Project Officer""}, {""name"": ""Sunita Yadav"", ""role"": ""Finance Officer""}]"

