name,description,timeStamp,departmentOfficers,workers
"Gram Panchayat Mirzapur","Mirzapur village governing body","2024-12-17T10:00:00Z","[{""name"": ""Ramesh Yadav"", ""position"": ""Gram Pradhan""}, {""name"": ""Sunil Kumar"", ""position"": ""Up-Pradhan""}]","[{""name"": ""Rakesh Sharma"", ""role"": ""Gram Vikas Adhikari""}, {""name"": ""Deepak Verma"", ""role"": ""Gram Rozgar Sahayak""}]"
"Gram Panchayat Sultanpur","Sultanpur village development authority","2024-12-18T09:30:00Z","[{""name"": ""Geeta Devi"", ""position"": ""Gram Pradhan""}, {""name"": ""Mohan Singh"", ""position"": ""Panchayat Secretary""}]","[{""name"": ""Rajesh Kumar"", ""role"": ""Gram Panchayat Adhikari""}, {""name"": ""Sanjay Maurya"", ""role"": ""Safai Karmi""}]"
"Gram Panchayat Barabanki","Barabanki rural development council","2024-12-19T11:15:00Z","[{""name"": ""Amar Singh"", ""position"": ""Gram Pradhan""}, {""name"": ""Priya Verma"", ""position"": ""Village Development Officer""}]","[{""name"": ""Santosh Kumar"", ""role"": ""Technical Assistant""}, {""name"": ""Anita Devi"", ""role"": ""ASHA Worker""}]"
"Gram Panchayat Gorakhpur","Gorakhpur village administration","2024-12-20T08:45:00Z","[{""name"": ""Vijay Pratap"", ""position"": ""Gram Pradhan""}, {""name"": ""Meena Kumari"", ""position"": ""Panchayat Secretary""}]","[{""name"": ""Ram Kumar"", ""role"": ""Village Agriculture Worker""}, {""name"": ""Shanti Devi"", ""role"": ""Anganwadi Worker""}]"
"Gram Panchayat Mathura","Mathura rural governance body","2024-12-21T14:30:00Z","[{""name"": ""Krishna Kumar"", ""position"": ""Gram Pradhan""}, {""name"": ""Radha Devi"", ""position"": ""Up-Pradhan""}]","[{""name"": ""Gopal Singh"", ""role"": ""Lekhpal""}, {""name"": ""Laxmi Devi"", ""role"": ""Health Worker""}]"
"Gram Panchayat Ayodhya","Ayodhya village council","2024-12-22T10:00:00Z","[{""name"": ""Ram Prakash"", ""position"": ""Gram Pradhan""}, {""name"": ""Sita Devi"", ""position"": ""Village Development Officer""}]","[{""name"": ""Hanuman Prasad"", ""role"": ""Revenue Inspector""}, {""name"": ""Kavita Sharma"", ""role"": ""Community Health Officer""}]"
"Gram Panchayat Varanasi","Varanasi rural development authority","2024-12-23T09:15:00Z","[{""name"": ""Shiv Kumar"", ""position"": ""Gram Pradhan""}, {""name"": ""Ganga Devi"", ""position"": ""Panchayat Secretary""}]","[{""name"": ""Vishnu Prasad"", ""role"": ""Agriculture Extension Worker""}, {""name"": ""Parvati Devi"", ""role"": ""Midwife""}]"
"Gram Panchayat Jhansi","Jhansi village panchayat","2024-12-24T11:30:00Z","[{""name"": ""Veer Singh"", ""position"": ""Gram Pradhan""}, {""name"": ""Lakshmi Bai"", ""position"": ""Up-Pradhan""}]","[{""name"": ""Bhanu Pratap"", ""role"": ""Revenue Collector""}, {""name"": ""Jhansi Devi"", ""role"": ""Social Worker""}]"
"Gram Panchayat Agra","Agra rural governance council","2024-12-25T13:45:00Z","[{""name"": ""Akbar Khan"", ""position"": ""Gram Pradhan""}, {""name"": ""Mumtaz Begum"", ""position"": ""Village Development Officer""}]","[{""name"": ""Salim Ahmad"", ""role"": ""Land Records Officer""}, {""name"": ""Fatima Bi"", ""role"": ""Community Mobilizer""}]"
"Gram Panchayat Lucknow","Lucknow village administration","2024-12-26T15:00:00Z","[{""name"": ""Nawab Ali"", ""position"": ""Gram Pradhan""}, {""name"": ""Begum Hasrat"", ""position"": ""Panchayat Secretary""}]","[{""name"": ""Imtiaz Khan"", ""role"": ""Rural Development Officer""}, {""name"": ""Razia Sultan"", ""role"": ""Education Coordinator""}]"
"Gram Panchayat Kanpur","Kanpur rural development council","2024-12-27T10:30:00Z","[{""name"": ""Raju Srivastava"", ""position"": ""Gram Pradhan""}, {""name"": ""Anjali Gupta"", ""position"": ""Up-Pradhan""}]","[{""name"": ""Vinod Kumar"", ""role"": ""Water Management Officer""}, {""name"": ""Sunita Devi"", ""role"": ""Sanitation Worker""}]"
"Gram Panchayat Bareilly","Bareilly village council","2024-12-28T12:45:00Z","[{""name"": ""Prem Prakash"", ""position"": ""Gram Pradhan""}, {""name"": ""Seema Sharma"", ""position"": ""Village Development Officer""}]","[{""name"": ""Arun Kumar"", ""role"": ""Agriculture Officer""}, {""name"": ""Maya Devi"", ""role"": ""Health Coordinator""}]"
"Gram Panchayat Meerut","Meerut rural governance body","2024-12-29T14:15:00Z","[{""name"": ""Amit Tyagi"", ""position"": ""Gram Pradhan""}, {""name"": ""Pooja Sharma"", ""position"": ""Panchayat Secretary""}]","[{""name"": ""Sachin Kumar"", ""role"": ""Rural Engineer""}, {""name"": ""Reena Devi"", ""role"": ""Women Welfare Officer""}]"
"Gram Panchayat Aligarh","Aligarh village development authority","2024-12-30T16:30:00Z","[{""name"": ""Zafar Ali"", ""position"": ""Gram Pradhan""}, {""name"": ""Shabana Begum"", ""position"": ""Up-Pradhan""}]","[{""name"": ""Irfan Khan"", ""role"": ""Education Officer""}, {""name"": ""Nasreen Bano"", ""role"": ""Social Development Worker""}]"
"Gram Panchayat Ghaziabad","Ghaziabad rural council","2024-12-31T09:45:00Z","[{""name"": ""Rajendra Kumar"", ""position"": ""Gram Pradhan""}, {""name"": ""Mamta Sharma"", ""position"": ""Village Development Officer""}]","[{""name"": ""Suresh Chand"", ""role"": ""Infrastructure Officer""}, {""name"": ""Rekha Devi"", ""role"": ""Community Health Worker""}]"
