senderId,receiverId,message,timestamp,attachments
DEPT_001,DM_001,"नई सिंचाई योजना का प्रस्ताव। कृपया समीक्षा करें और स्वीकृति प्रदान करें। सम्पूर्ण विवरण संलग्न है।",2025-02-02T11:30:00Z,"[{""fileName"": ""irrigation_proposal.pdf"", ""url"": ""http://example.com/irrigation_proposal.pdf""}]"
DEPT_002,PANCH_001,"ग्राम में स्वच्छता अभियान की रिपोर्ट - 80% लक्ष्य पूरा। शौचालय निर्माण कार्य प्रगति पर है।",2025-02-03T09:15:00Z,"[]"
DEPT_003,DM_002,"आगामी किसान मेले की तैयारियों की जानकारी। कृपया मुख्य अतिथि के रूप में उपस्थित होने का कष्ट करें।",2025-02-04T14:45:00Z,"[{""fileName"": ""kisan_mela_details.pdf"", ""url"": ""http://example.com/kisan_mela_details.pdf""}]"
DEPT_001,PANCH_002,"प्रधानमंत्री आवास योजना के तहत आवंटित घरों की प्रगति रिपोर्ट। 45 घर पूर्ण, 30 निर्माणाधीन।",2025-02-05T08:20:00Z,"[{""fileName"": ""pmay_progress.xlsx"", ""url"": ""http://example.com/pmay_progress.xlsx""}]"
DEPT_002,DM_001,"तत्काल: पेयजल समस्या, पाइपलाइन मरम्मत के लिए बजट स्वीकृति आवश्यक। ग्राम वासी परेशान हैं।",2025-02-06T16:00:00Z,"[]"
DEPT_003,DM_003,"ग्राम पंचायत में नए सौर ऊर्जा प्रोजेक्ट का प्रस्ताव। 25 स्ट्रीट लाइट और 10 सोलर पंप शामिल हैं।",2025-02-07T13:30:00Z,"[{""fileName"": ""solar_project.pdf"", ""url"": ""http://example.com/solar_project.pdf""}]"
DEPT_004,PANCH_003,"आंगनवाड़ी केंद्र के लिए नए पोषण कार्यक्रम की रूपरेखा। कृपया कार्यान्वयन में सहयोग करें।",2025-02-08T11:00:00Z,"[]"
DEPT_005,DM_004,"ग्राम सभा की मंजूरी के बाद नई सड़क निर्माण का प्रस्ताव। विस्तृत प्रोजेक्ट रिपोर्ट संलग्न।",2025-02-09T15:45:00Z,"[{""fileName"": ""road_construction.pdf"", ""url"": ""http://example.com/road_construction.pdf""}]"
DEPT_006,PANCH_004,"मनरेगा के तहत नए कार्य की स्वीकृति। 200 श्रमिकों को रोजगार मिलेगा। कृपया कार्य आवंटन करें।",2025-02-10T10:30:00Z,"[]"
DEPT_001,DM_002,"अत्यंत आवश्यक: बाढ़ नियंत्रण उपायों की समीक्षा बैठक। मानसून से पहले तैयारी जरूरी।",2025-02-11T09:00:00Z,"[{""fileName"": ""flood_control.pdf"", ""url"": ""http://example.com/flood_control.pdf""}]"
DEPT_002,PANCH_005,"कृषि विभाग द्वारा नई फसल बीमा योजना की जानकारी। कृपया किसानों को सूचित करें।",2025-02-12T14:20:00Z,"[{""fileName"": ""crop_insurance.pdf"", ""url"": ""http://example.com/crop_insurance.pdf""}]"
DEPT_003,DM_001,"स्कूल भवन के नवीनीकरण का प्रस्ताव। छात्र संख्या बढ़ने के कारण अतिरिक्त कक्षाएं आवश्यक।",2025-02-13T11:45:00Z,"[{""fileName"": ""school_renovation.pdf"", ""url"": ""http://example.com/school_renovation.pdf""}]"
DEPT_001,DM_001,"जल जीवन मिशन की प्रगति रिपोर्ट: 75% घरों में नल कनेक्शन स्थापित। शेष कार्य अगले माह तक पूर्ण होगा।",2025-02-02T11:30:00Z,"[{""fileName"": ""jjm_progress.pdf"", ""url"": ""http://example.com/jjm_progress.pdf""}]"
DEPT_002,PANCH_001,"आयुष्मान भारत कार्ड वितरण कैम्प का आयोजन दिनांक 15 फरवरी को। कृपया ग्राम वासियों को सूचित करें।",2025-02-03T09:15:00Z,"[{""fileName"": ""ayushman_camp.pdf"", ""url"": ""http://example.com/ayushman_camp.pdf""}]"
DEPT_003,DM_002,"कौशल विकास केंद्र में नए बैच की शुरुआत। 100 युवाओं को रोजगारपरक प्रशिक्षण दिया जाएगा।",2025-02-04T14:45:00Z,"[{""fileName"": ""skill_center.pdf"", ""url"": ""http://example.com/skill_center.pdf""}]"
DEPT_001,PANCH_002,"स्मार्ट ग्राम योजना के तहत वाई-फाई हॉटस्पॉट स्थापना प्रगति पर। 5 में से 3 स्थान पूर्ण।",2025-02-05T08:20:00Z,"[{""fileName"": ""wifi_progress.xlsx"", ""url"": ""http://example.com/wifi_progress.xlsx""}]"
DEPT_002,DM_001,"आपदा प्रबंधन: बाढ़ प्रभावित क्षेत्रों में तत्काल राहत सामग्री की आवश्यकता। कृपया स्वीकृति प्रदान करें।",2025-02-06T16:00:00Z,"[{""fileName"": ""flood_relief.pdf"", ""url"": ""http://example.com/flood_relief.pdf""}]"
DEPT_003,PANCH_003,"पशु टीकाकरण शिविर का आयोजन 20-25 फरवरी तक। सभी पशुपालकों को सूचित करें।",2025-02-07T13:30:00Z,"[]"
DEPT_001,DM_003,"ग्रामीण सड़क निर्माण कार्य में विलंब। ठेकेदार को नोटिस जारी करने की अनुमति चाहिए।",2025-02-08T11:00:00Z,"[{""fileName"": ""road_delay_report.pdf"", ""url"": ""http://example.com/road_delay_report.pdf""}]"
DEPT_002,PANCH_004,"किसान क्रेडिट कार्ड शिविर 1 मार्च को। लक्ष्य: 500 नए कार्ड। कृपया प्रचार-प्रसार करवाएं।",2025-02-09T15:45:00Z,"[]"
